name_name,name_rate
I-Smart is-i1 Dynamite 6.0 Inch Screen Dual Sim 2GB RAM 16 GB Internal 4G Volte Jio Support Smartphone Black,"3,999"
itel A23 2019 ,10129
itel A44 Air ,"3,709"
itel A44 Air ,"3,900"
itel A44 Air ,"4,049"
itel A44 Power ,10129
itel A44 Pro Full Screen Smartphone 16GB 2 GB RAM ,"4,914"
itel A46 ,10129
itel A46 ,"4,999"
itel A62 Smartphone 16GB 2GB ,"5,490"
Itel IT 5020 Mobile Black Colour,10129
Itel it1518 Selfiepro Android 6.0 Marshmallow Smart Phone,10129
Itel IT1520 Mobile In Gold Colour,10129
itel IT-2130 Mobile Phone ,10129
"Itel S42 Smartphone 16GB ROM, 3GB RAM ","7,800"
Itel WISH A41 Smartphone ,10129
itelA21WISH 4G Volte Smartphone,"3,950"
iVOOMi i2 Lite ,"5,114"
iVOOMi iPro ,"3,196"
iVOOMi iV Smart 4G ,"2,299"
iVOOMi Me 1+ iV 505 ,"3,499"
iVooMi Me3 ,"3,839"
iVooMi Me3 ,"3,879"
"iVooMi Mobile i1 Volte Smartphone with Finger Print Sensor 2 GB RAM Model with 5.45-inch 1080p Display, Octa-Core, 16 GB ROM, Reliance Jio 4G Sim Support and 13+2 Mpix and 8Mpix HD","4,499"
iVOOMi Z1 ,"4,999"
Jivi Revolution TnT3 ,"5,252"
JSD PRO Zhiyun Smooth-Q2 ,"10,999"
Karbonn A108 ,"2,195"
Karbonn A40 Indian ,"3,300"
Karbonn A9 Indian ,"3,690"
Karbonn Aura Note 4G ,10129
Karbonn AURA Power 4G ,10129
Karbonn Aura Power 4G ,"5,124"
Karbonn Aura Sleek Plus ,"4,068"
Karbonn Aura Sleek Plus ,"4,999"
Karbonn Frames S9 ,"5,999"
Karbonn K9 Jumbo Mobile Phone,"1,199"
Karbonn K9 Smart Plus ,"3,939"
Karbonn K9 Smart Plus ,"3,999"
Karbonn K9 Smart Selfie ,"4,345"
Karbonn K9 Smart Yuva ,"3,900"
Karbonn K9 Viraat ,"3,499.00"
Karbonn Titanium Frames S7 ,"4,999"
Karbonn Vue 1 ,"4,290"
Karbonn Vue 1 ,"3,199"
Kechaoda K33 Slim Card Size Light Weight and Stylish Dual Sim GSM Mobile Phone ,10129
KECHAODA K60 ,"1,699"
KEKAI Blaze GIO ,"3,700"
Kidsor Me8 Pro4G Volte ,"3,999"
Kult Ambition ,"3,999"
Kult Gladiator ,"5,499"
Kult Impulse KT05 ,"4,999"
Lava A44 ,10129
Lava Iris X1 Atom S ,10129
Lava KKT34 Power ,"1,640"
Lava X38 ,"6,199"
Lava X50+ ,"4,999"
Lava Z25 ,"12,000"
Lava Z50 ,"3,690"
Lava Z51,"4,074"
Lava Z51 ,"4,180"
Lava Z60 ,"6,055"
Lava Z60s ,"4,890"
Lava Z61 ,"4,950"
Lava Z61 ,"5,499"
Lava Z61 ,"4,690"
Lava Z61 ,"4,969"
Lava Z62 ,"5,399"
Lava Z62 ,"5,448"
Lava Z70 ,"7,809"
Lava Z80 ,"4,728"
Lava Z81 ,"6,060"
Lava Z81 ,"6,640"
Lava Z81 ,"6,305"
Lava Z90 ,10129
Lava Z91 ,"7,699"
Lava Z91 ,"8,499"
Lava Z92 ,"6,299"
LAVA Z93 ,"7,999"
"LEAGOO M9 Pro 5.72-inch HD+ IPS Full Screen Display OS Android 8.0 2GB RAM, 16GB ROM, MT6739V/WW, Battery 3000mAh, 4G Global Network Frequency Smartphone - Blue","6,199"
"LEAGOO S8 5.72-Inch HD+ IPS OS Android 7.0 3GB RAM, 32GB ROM, MT6750T Octa Code, Battery 2940mAh, 4G Global Network Frequency Smartphone - ","9,999"
Left brain creation Universal Charger Magic Charger,10129
Lenovo A5 ,"6,699"
Lenovo A5 with Finger print and face unlock ,"6,699"
Lenovo A536 ,"4,500"
Lenovo A6600 ,"5,400"
Lenovo A6600 Plus ,10129
Lenovo A7700 5.5-Inch 4G LTE Smartphone ,10129
Lenovo K6 Note K53a48 ,"9,999"
Lenovo K6 Note K53a48 ,10129
Lenovo K6 Power K33a42 ,10129
Lenovo K8 ,"6,999"
Lenovo K8 Note ,"9,400"
Lenovo K8 Note ,"8,999"
Lenovo K8 Note ,"7,499"
Lenovo K8 Note ,"7,386"
Lenovo K8 Plus ,"6,889"
Lenovo K8 Plus ,"6,799"
Lenovo K9 ,"5,999"
Lenovo K9 ,"5,920"
LENOVO K9 Note 4/64 Black,"7,599"
